player,position,kills,deaths,assists,gamelength,golddiffat10,golddiffat15,csdiffat10,csdiffat15
Nuguri,top,8,5,6,2441,350,125,-7,-2
Canyon,jng,1,3,12,2441,-594,-1183,-19,-31
ShowMaker,mid,5,1,7,2441,277,222,13,24
Nuclear,bot,6,2,7,2441,-167,-275,-9,-13
Hoit,sup,0,3,15,2441,190,-98,0,3
Nuguri,top,1,7,5,2870,131,311,18,20
Canyon,jng,4,1,5,2870,349,397,16,12
ShowMaker,mid,1,3,6,2870,-127,-7,-5,-11
Nuclear,bot,3,3,2,2870,-211,-311,-13,-10
Hoit,sup,1,4,5,2870,-34,65,1,0
Nuguri,top,1,1,3,2837,-323,-878,-16,-21
Canyon,jng,0,2,6,2837,-603,-476,-6,-1
ShowMaker,mid,3,1,3,2837,-1202,-1564,2,2
Nuclear,bot,3,0,3,2837,379,-72,14,1
BeryL,sup,0,5,7,2837,413,231,5,4
Nuguri,top,7,2,2,1903,172,341,31,28
Canyon,jng,0,2,9,1903,-260,-85,-1,15
ShowMaker,mid,2,4,5,1903,390,107,24,31
Nuclear,bot,3,3,3,1903,70,159,4,18
BeryL,sup,0,4,7,1903,-10,-716,-1,-2
Nuguri,top,5,2,7,1684,214,1408,4,14
Canyon,jng,6,2,8,1684,686,1297,4,14
ShowMaker,mid,5,0,10,1684,143,987,15,21
Nuclear,bot,8,1,7,1684,-217,-375,-3,3
BeryL,sup,0,3,13,1684,-22,229,0,-2
Nuguri,top,0,3,0,1948,146,-69,10,14
Canyon,jng,0,1,0,1948,48,44,2,7
ShowMaker,mid,0,1,0,1948,-79,-400,-4,0
Nuclear,bot,0,1,0,1948,-69,-161,-8,-21
Hoit,sup,0,1,0,1948,32,140,0,0
Nuguri,top,3,4,1,1746,343,65,0,5
Canyon,jng,0,6,3,1746,-641,-803,-4,7
ShowMaker,mid,1,5,3,1746,120,-1720,-6,-6
Nuclear,bot,0,2,0,1746,-115,-2455,-6,-27
Hoit,sup,1,2,0,1746,442,303,6,9
Nuguri,top,3,0,13,1717,763,1498,2,6
Canyon,jng,1,1,10,1717,448,957,17,25
ShowMaker,mid,8,0,5,1717,-185,757,-6,-1
Nuclear,bot,3,1,8,1717,-481,-474,-19,-5
Hoit,sup,2,0,11,1717,-60,43,1,9
Nuguri,top,7,2,4,1982,214,1220,12,13
Canyon,jng,1,2,8,1982,208,-25,12,7
ShowMaker,mid,2,1,6,1982,-66,-67,-3,12
Nuclear,bot,3,0,8,1982,-374,-36,-10,2
Hoit,sup,0,2,5,1982,21,161,-1,0
Nuguri,top,0,3,0,2080,2,313,15,22
Canyon,jng,0,3,1,2080,-54,365,4,36
ShowMaker,mid,1,4,0,2080,34,317,7,7
Nuclear,bot,0,2,1,2080,-193,-608,-8,-11
Hoit,sup,0,1,1,2080,-741,-971,-13,-21
Nuguri,top,2,0,2,1716,735,1827,25,46
Canyon,jng,0,1,6,1716,46,19,1,-10
ShowMaker,mid,1,0,4,1716,-39,276,-2,-3
Nuclear,bot,3,0,1,1716,177,358,5,5
Hoit,sup,0,1,4,1716,93,118,-1,-2
Nuguri,top,5,2,3,1766,1487,774,38,29
Canyon,jng,1,1,7,1766,580,451,3,9
ShowMaker,mid,4,0,7,1766,1183,2281,13,30
Nuclear,bot,2,2,8,1766,-588,-706,-29,-35
Hoit,sup,0,0,10,1766,156,-54,0,-3
Nuguri,top,1,3,4,1936,-447,-219,-19,-27
Canyon,jng,0,4,4,1936,-195,-241,-2,-13
ShowMaker,mid,0,2,4,1936,205,199,9,10
Nuclear,bot,4,1,0,1936,-7,121,-1,-5
Hoit,sup,0,2,5,1936,7,251,4,3
Nuguri,top,3,6,2,2086,-132,12,4,0
Canyon,jng,1,6,6,2086,-173,-1347,-3,-16
ShowMaker,mid,3,3,5,2086,-51,-858,0,-9
Nuclear,bot,3,2,3,2086,457,608,8,16
Hoit,sup,0,6,5,2086,51,22,-1,-1
Nuguri,top,0,2,10,2008,-538,-675,-15,-25
Canyon,jng,4,1,6,2008,701,1433,13,17
ShowMaker,mid,2,1,9,2008,-525,-716,-14,-19
Nuclear,bot,9,0,4,2008,527,2199,15,29
BeryL,sup,0,1,7,2008,450,988,13,19
Nuguri,top,1,7,0,1609,-2651,-1536,-29,-11
