player,position,kills,deaths,assists,gamelength,golddiffat10,golddiffat15,csdiffat10,csdiffat15
Nuclear,bot,6,2,7,2441,-167,-275,-9,-13
Nuclear,bot,3,3,2,2870,-211,-311,-13,-10
Nuclear,bot,3,0,3,2837,379,-72,14,1
Nuclear,bot,3,3,3,1903,70,159,4,18
Nuclear,bot,8,1,7,1684,-217,-375,-3,3
Nuclear,bot,0,1,0,1948,-69,-161,-8,-21
Nuclear,bot,0,2,0,1746,-115,-2455,-6,-27
Nuclear,bot,3,1,8,1717,-481,-474,-19,-5
Nuclear,bot,3,0,8,1982,-374,-36,-10,2
Nuclear,bot,0,2,1,2080,-193,-608,-8,-11
Nuclear,bot,3,0,1,1716,177,358,5,5
Nuclear,bot,2,2,8,1766,-588,-706,-29,-35
Nuclear,bot,4,1,0,1936,-7,121,-1,-5
Nuclear,bot,3,2,3,2086,457,608,8,16
Nuclear,bot,9,0,4,2008,527,2199,15,29
Nuclear,bot,4,3,1,1609,1203,1861,95,141
Nuclear,bot,1,1,9,2017,-511,-993,-26,-25
Nuclear,bot,5,0,4,1546,90,28,1,4
Nuclear,bot,3,5,3,1804,-938,-977,-41,-37
Nuclear,bot,1,3,5,2539,-1442,-1719,-34,-44
Nuclear,bot,2,2,1,1988,-73,47,-9,-27
Nuclear,bot,2,4,1,1991,-248,-1391,-9,-14
Nuclear,bot,0,2,2,1689,-2004,-2128,-34,-50
Nuclear,bot,1,1,9,2071,-972,-1687,-78,-120
Nuclear,bot,1,2,2,1594,-373,-1556,-18,-29
Nuclear,bot,2,2,6,2106,-1049,-1629,-18,-29
