player,position,kills,deaths,assists,gamelength,golddiffat10,golddiffat15,csdiffat10,csdiffat15
ShowMaker,mid,5,1,7,2441,277,222,13,24
ShowMaker,mid,1,3,6,2870,-127,-7,-5,-11
ShowMaker,mid,3,1,3,2837,-1202,-1564,2,2
ShowMaker,mid,2,4,5,1903,390,107,24,31
ShowMaker,mid,5,0,10,1684,143,987,15,21
ShowMaker,mid,0,1,0,1948,-79,-400,-4,0
ShowMaker,mid,1,5,3,1746,120,-1720,-6,-6
ShowMaker,mid,8,0,5,1717,-185,757,-6,-1
ShowMaker,mid,2,1,6,1982,-66,-67,-3,12
ShowMaker,mid,1,4,0,2080,34,317,7,7
ShowMaker,mid,1,0,4,1716,-39,276,-2,-3
ShowMaker,mid,4,0,7,1766,1183,2281,13,30
ShowMaker,mid,0,2,4,1936,205,199,9,10
ShowMaker,mid,3,3,5,2086,-51,-858,0,-9
ShowMaker,mid,2,1,9,2008,-525,-716,-14,-19
ShowMaker,mid,1,3,1,1609,-302,-624,-2,-11
ShowMaker,mid,6,1,6,2017,367,1058,13,23
ShowMaker,mid,3,0,7,1546,730,1658,15,32
ShowMaker,mid,3,2,1,1804,380,405,16,28
ShowMaker,mid,7,0,1,2539,566,360,22,17
ShowMaker,mid,2,2,3,1988,311,1258,6,17
ShowMaker,mid,1,3,3,1991,-610,-2071,-16,-58
ShowMaker,mid,2,2,2,1689,47,171,16,10
ShowMaker,mid,6,1,4,2071,233,113,12,4
ShowMaker,mid,1,2,1,1594,260,-219,9,1
ShowMaker,mid,1,4,0,1681,-1051,-1545,-21,-37
ShowMaker,mid,2,2,5,2106,-313,-486,-14,-21
ShowMaker,mid,7,2,14,3276,89,793,3,6
ShowMaker,mid,3,0,10,2016,104,526,9,19
ShowMaker,mid,4,2,8,1586,115,853,8,17
ShowMaker,mid,8,0,5,1506,196,270,6,12
ShowMaker,mid,4,2,7,2500,408,675,1,12
ShowMaker,mid,0,2,15,2619,905,2238,29,50
ShowMaker,mid,2,0,2,1544,308,675,15,13
ShowMaker,mid,8,0,6,1898,266,652,-6,2
ShowMaker,mid,0,3,2,2363,-144,-1265,10,-3
ShowMaker,mid,1,1,0,1672,-939,-1625,-21,-25
ShowMaker,mid,3,4,1,1626,-44,-374,-5,-11
ShowMaker,mid,6,0,11,2029,700,719,2,-20
ShowMaker,mid,1,1,8,2544,-417,-874,-5,-15
ShowMaker,mid,1,1,2,2107,-537,-583,3,19
ShowMaker,mid,4,4,9,1900,-593,-578,-26,-32
ShowMaker,mid,1,1,12,1939,7,418,-6,6
ShowMaker,mid,4,2,1,2370,-146,-211,-3,9
ShowMaker,mid,3,3,3,2138,253,669,7,-4
ShowMaker,mid,5,1,6,2324,-162,1298,-7,9
ShowMaker,mid,1,2,0,1847,107,-491,6,1
ShowMaker,mid,2,2,5,1919,-1080,-1269,-21,-39
ShowMaker,mid,3,2,2,2194,12,678,1,9
ShowMaker,mid,2,2,4,2462,-384,-12,-20,-25
ShowMaker,mid,2,3,1,1818,-530,-706,-21,-19
